# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "play_data_ref_annot/chr19_20Mb.gtf" "-o" "data_output_featureCount/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001.txt" "data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam
ENSG00000065268.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	983174;983962;984331;984332;984341;984358;984358;984385;985865;985865;985865;985865;985865;985865;985944;989762;989762;989762;989762;989762;989762;989762;989762;990223;990223;990223;990223;990223;990223;990223;990647;990852;990852;990852;990852;990852;990959;991081;991081;991081;991081;991081;991227;991227;991227;991227;991227;991227;991234;991234;991955;991955;991955;991955;991995;994013;994019;994019;994019;994019;994212;994212;994212;994212;994212;994212	983250;984186;984563;984563;984563;984563;984563;984563;985975;985975;985975;985975;985975;985975;985975;990103;989895;989895;990258;989895;989895;989895;989895;990364;990364;990364;990364;990364;990292;990364;991145;990995;990995;990995;990995;990995;991145;991145;991145;991145;991145;991145;991334;991286;991352;991351;991351;991351;991351;991351;992121;992121;992121;992121;992121;994087;994087;994087;994087;994087;994556;994553;994557;994553;994553;994569	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2474	717
ENSG00000269169.1	chr19;chr19	999601;999914	999621;999952	+;+	60	2
ENSG00000266990.1	chr19;chr19;chr19	999795;1002021;1002628	1000166;1002160;1002756	-;-;-	641	3
ENSG00000116032.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1000418;1003129;1004520;1004534;1004801;1007627;1007855;1008139;1008617;1008856;1009172	1000862;1003721;1005552;1004583;1005278;1007772;1007970;1008290;1008781;1008926;1009731	+;+;+;+;+;+;+;+;+;+;+	3281	101
ENSG00000182087.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1009647;1009650;1009650;1009651;1009719;1010176;1010457;1010694;1010694;1010729;1010990;1011095;1011095;1011095;1011095;1011095;1011095;1011256;1011366;1011366;1011366;1011366;1011366;1011366;1011366;1011579;1011579;1011579;1011579;1011579;1011579;1011579;1011579;1011740;1011740;1011740;1011740;1011740;1011740;1011740;1011851;1011891;1011891;1011891;1011891;1011891;1011891;1011891;1011891;1012064;1012065;1012065;1012065;1012065;1012065;1012065;1012065;1012112;1012233;1012462;1012462;1012462;1012462;1012462;1012540;1013240;1013240;1013240;1013240;1013240;1013240;1013240;1013240;1014191;1014191;1014191;1014191;1014191;1014191;1017278;1020771;1020771;1020771	1010894;1010894;1010894;1009860;1011355;1010894;1010894;1010894;1010894;1010894;1011094;1011194;1011194;1011194;1011498;1011194;1011194;1011498;1011498;1011498;1011498;1011611;1011498;1011498;1011498;1011662;1011797;1011611;1011611;1011640;1011662;1011662;1011662;1011797;1011797;1011797;1011797;1011797;1011797;1011797;1011991;1011991;1011991;1011991;1011991;1011974;1011991;1011991;1011991;1012187;1012187;1012288;1012316;1012572;1012187;1012116;1012187;1012187;1012572;1012572;1012572;1012572;1012572;1012572;1012572;1013339;1013638;1013357;1013339;1013339;1013339;1013339;1013339;1014316;1014303;1014472;1014295;1014472;1014472;1017422;1020845;1021114;1021117	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3974	1831
ENSG00000207357.1	chr19	1021521	1021627	+	107	0
ENSG00000064666.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1026298;1026585;1026610;1026610;1026618;1026628;1026628;1026690;1026690;1026976;1030942;1031070;1031070;1031070;1031070;1031070;1031070;1031070;1031070;1031136;1032391;1032391;1032391;1032391;1032391;1032391;1032391;1032391;1032391;1032391;1032558;1032558;1032558;1032558;1032558;1032558;1032558;1032558;1032558;1032558;1036066;1036129;1036129;1036129;1036129;1036415;1036415;1036415;1036415;1036415;1036415;1036415;1036415;1036415;1036798;1036878;1037549;1037624;1037624;1037624;1037624;1037624;1037624;1037624	1026723;1026723;1026723;1026723;1026723;1026723;1026723;1026723;1026723;1027073;1031191;1031191;1031191;1031191;1031191;1031191;1031191;1031191;1031191;1031191;1032457;1032457;1032457;1032457;1032457;1032457;1032457;1032457;1032457;1032457;1032695;1032695;1032695;1032695;1032920;1032695;1032662;1032695;1032694;1032695;1036245;1036245;1036245;1036245;1036245;1036561;1036561;1036676;1036687;1036561;1036561;1036561;1036561;1036561;1039063;1036999;1037631;1038063;1037732;1038377;1038026;1039063;1038872;1039068	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3928	5161
ENSG00000267020.1	chr19	1038726	1039063	-	338	774
ENSG00000064687.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1040102;1040115;1040119;1040122;1040126;1041201;1041204;1041224;1041224;1041224;1041224;1041354;1041361;1041509;1041509;1041509;1041509;1041509;1041509;1041515;1041830;1041830;1041830;1041830;1041830;1041830;1042063;1042063;1042063;1042063;1042063;1042314;1042314;1042314;1042314;1042314;1042661;1042745;1042745;1043040;1043040;1043040;1043333;1043333;1043333;1043724;1043724;1043724;1044576;1044576;1044576;1045001;1045001;1045001;1045531;1046229;1046229;1046229;1046229;1046801;1046801;1046801;1047156;1047156;1047156;1047156;1047452;1047452;1047452;1047452;1048894;1048894;1048894;1049265;1049265;1049265;1050920;1050920;1050920;1051154;1051154;1051154;1051448;1051448;1051448;1051941;1051941;1051941;1052213;1052213;1052213;1053328;1053328;1053328;1053787;1053787;1053787;1054005;1054005;1054005;1054077;1054192;1054192;1054192;1054192;1054569;1054569;1054569;1054779;1054779;1054779;1054779;1055096;1055096;1055096;1055096;1055906;1055906;1055906;1055906;1056065;1056065;1056065;1056329;1056329;1056329;1056906;1056906;1056906;1056933;1057039;1057039;1057313;1057313;1057313;1057313;1057914;1057914;1057914;1057914;1057914;1057968;1058145;1058145;1058145;1058145;1058145;1058145;1058617;1058617;1058617;1058617;1058617;1058819;1058819;1058819;1058819;1058819;1059022;1059022;1059022;1059022;1059022;1061781;1061781;1061781;1061781;1062171;1062171;1062171;1062171;1062260;1063543;1063543;1063543;1063543;1063543;1063759;1063759;1063759;1063759;1063759;1064051;1064160;1064160;1064160;1064160;1064658;1064930;1064930;1064930;1064930;1064930;1064930;1065269;1065269;1065269;1065269;1065269;1065290	1040195;1040195;1040195;1040195;1040195;1041426;1041426;1041426;1041426;1041681;1041426;1041426;1041426;1041602;1041602;1042175;1041602;1041602;1041602;1041602;1042103;1041971;1041971;1041971;1041971;1041971;1042175;1042175;1042175;1042175;1042175;1042396;1042464;1042743;1042390;1042396;1042825;1042825;1042825;1043250;1043250;1043250;1043472;1043472;1043472;1043840;1043840;1043840;1044743;1044743;1044743;1045230;1045230;1045230;1045618;1046403;1046405;1046405;1046405;1047023;1047023;1047023;1047377;1047377;1047377;1047377;1047553;1047653;1047653;1047653;1049004;1049004;1049004;1049436;1049436;1049436;1051051;1051051;1051051;1051293;1051293;1051293;1051585;1051585;1051585;1052125;1052125;1052125;1052285;1052285;1052285;1053530;1053530;1053530;1053835;1053835;1053835;1054109;1054109;1054109;1054109;1054340;1054340;1054340;1054340;1054693;1054693;1054693;1054877;1054877;1054877;1054877;1055350;1055350;1055350;1055350;1055938;1055938;1055938;1055938;1056242;1056242;1056242;1056498;1056498;1056498;1057083;1057083;1057083;1057083;1057428;1057428;1057428;1057428;1057428;1057428;1058058;1058058;1058058;1058058;1058058;1058058;1058268;1058156;1058268;1058268;1058268;1058268;1058746;1058746;1058746;1058746;1058746;1058939;1058939;1058939;1058939;1058939;1059262;1059084;1059084;1059084;1059084;1061887;1061887;1061887;1061887;1062312;1062312;1062312;1062312;1062312;1063677;1063677;1063677;1063677;1063677;1063944;1063862;1063862;1063862;1063862;1064252;1064252;1064252;1064252;1064252;1064746;1065170;1065170;1065170;1065170;1065170;1065170;1065327;1065568;1065424;1065568;1065568;1065571	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8365	934
ENSG00000180448.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1065922;1066508;1067174;1067316;1067316;1067318;1067326;1067497;1068332;1068413;1068413;1068413;1068413;1071220;1071512;1073148;1073148;1073148;1073148;1073148;1073148;1073148;1073148;1073148;1073505;1073505;1073505;1073505;1073505;1073505;1073505;1073582;1073673;1073673;1073673;1073673;1073673;1073673;1073673;1073947;1073947;1073947;1073947;1073947;1073947;1073947;1073947;1074103;1074103;1074103;1074103;1074103;1074103;1074103;1074103;1074342;1074342;1074342;1074342;1074342;1074342;1074342;1074342;1074613;1074613;1074613;1074613;1074613;1074613;1074613;1074613;1074798;1074798;1074798;1074798;1074798;1074798;1074798;1077442;1077856;1077856;1077856;1077856;1077856;1077856;1077856;1079702;1079702;1079702;1079702;1079702;1079702;1079702;1079702;1079927;1079927;1079927;1079927;1079927;1079927;1079927;1079927;1080254;1080254;1080254;1080254;1080254;1080254;1080254;1080254;1080254;1080463;1080463;1080463;1080463;1080463;1080463;1080681;1080681;1080681;1080681;1080681;1080681;1080681;1080681;1080681;1080891;1080891;1080891;1080891;1080891;1080891;1080891;1080891;1080891;1081188;1081549;1081549;1081549;1081549;1081549;1081549;1081549;1081549;1081823;1081823;1081823;1081823;1081823;1081823;1081823;1081823;1081823;1082520;1082785;1082839;1082839;1082839;1082839;1082839;1082839;1082839;1082839;1082839;1082839;1082840;1082938;1083142;1083142;1083142;1083142;1083142;1083142;1083142;1083142;1083142;1083142;1083275;1084237;1084237;1084237;1084237;1084237;1084237;1084237;1084237;1084237;1084237;1084237;1085659;1085659;1085659;1085659;1085659;1085659;1085659;1085659;1085659;1085659;1085659	1066162;1066640;1067494;1067494;1067494;1067494;1067494;1067673;1068743;1068743;1068743;1068743;1068743;1071357;1071765;1073291;1073291;1073291;1073291;1073291;1073291;1073291;1073222;1073291;1073589;1073589;1073589;1073589;1073589;1073589;1073589;1073745;1073745;1073745;1073745;1073745;1073745;1073745;1073745;1074013;1074013;1074013;1074013;1074013;1074013;1074013;1074013;1074240;1074240;1074240;1074240;1074240;1074240;1074240;1074240;1074406;1074406;1074406;1074406;1074406;1074406;1074406;1074406;1074723;1074723;1074723;1074723;1074723;1074723;1074723;1074723;1074878;1074878;1074878;1074878;1074878;1074878;1074878;1078044;1078044;1078044;1078044;1078044;1078044;1078044;1078044;1079839;1079839;1079839;1079839;1079839;1079839;1079839;1079839;1080117;1080117;1080117;1080117;1080117;1080117;1080117;1080117;1080378;1080378;1080378;1080378;1080546;1080546;1080546;1080378;1080378;1080546;1080546;1080546;1080546;1080546;1080546;1080785;1080785;1080785;1080785;1080785;1080785;1080785;1080785;1080785;1081063;1081063;1081063;1081063;1080962;1081063;1081063;1081063;1081063;1081737;1081737;1081737;1081737;1081737;1081737;1081737;1081737;1081737;1081960;1081960;1081960;1081960;1081960;1081960;1081960;1081960;1081960;1082656;1083065;1083065;1082955;1083065;1083065;1083065;1083065;1083065;1083065;1083065;1083065;1083352;1083065;1083328;1083352;1083352;1083352;1083352;1083352;1083352;1083352;1083352;1083352;1083352;1084345;1084345;1084345;1084345;1084345;1084345;1084345;1084345;1084345;1084345;1084345;1086214;1086599;1085995;1086627;1086627;1086627;1086625;1086091;1086091;1086627;1086265	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6497	1707
ENSG00000099817.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1086594;1086875;1088065;1088147;1088166;1088320;1088423;1088608;1088635;1088664;1089471;1089471;1089471;1089471;1089471;1089471;1089471;1089883;1089883;1089883;1089883;1089883;1089883;1090086;1090086;1090086;1090086;1090086;1090086;1090907;1090907;1090907;1090907;1090907;1090907;1091500;1091791;1091791;1091791;1091791;1091791;1091791;1092312;1093729;1093755;1093903;1093903;1093903;1093903;1095258;1095258;1095258;1095258;1095258;1095258	1086987;1086987;1088165;1088719;1088719;1088719;1088719;1088642;1088719;1088719;1089550;1089550;1089550;1089929;1089550;1089550;1089550;1089961;1089961;1089961;1089961;1089961;1089961;1090144;1090140;1090144;1090144;1090144;1090144;1090987;1090987;1090987;1090987;1090987;1090987;1091906;1091906;1091906;1091906;1091906;1091906;1091906;1092345;1094077;1093902;1094077;1095374;1094077;1094077;1095348;1095360;1095374;1095335;1095598;1095353	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3991	1285
ENSG00000167468.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1103936;1104007;1104067;1104072;1104415;1105110;1105184;1105185;1105185;1105185;1105185;1105185;1105365;1105365;1105365;1105365;1105365;1105365;1105365;1105453;1105584;1105657;1105657;1105657;1105657;1105657;1105657;1105657;1106180;1106241;1106241;1106241;1106241;1106377;1106399;1106399;1106399;1106399;1106399;1106399;1106539;1106539;1106539;1106539;1106539;1106572	1104126;1104126;1104126;1104126;1104928;1105279;1105279;1105279;1105279;1105279;1105279;1105279;1105509;1105509;1105509;1105509;1105509;1105509;1105509;1105509;1105847;1106265;1105808;1105808;1105808;1105808;1105808;1105808;1106265;1106265;1106265;1106265;1106265;1106458;1106458;1106458;1106458;1106442;1106458;1106458;1106787;1106563;1106787;1106786;1106778;1106778	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2033	3645
ENSG00000064932.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1107636;1107640;1107641;1108564;1108778;1108778;1108778;1108778;1109134;1109134;1109134;1109134;1109291;1109291;1109291;1109500;1109505;1109505;1109505;1109682;1109682;1109682;1109682;1110744;1110744;1110744;1110744;1110744;1111018;1111018;1111018;1111018;1111018;1111505;1111505;1111505;1111505;1111995;1111995;1111995;1112188;1112188;1112188;1112401;1112401;1112401;1112817;1112817;1112817;1113534;1113534;1113534;1114230;1114230;1114230;1115355;1116020;1116020;1116020;1116828;1116828;1116828;1116828;1117322;1117322;1117322;1117322;1117395;1119010;1119010;1119010;1119010;1119010;1119515;1119515;1119515;1119515;1119515;1119905;1119905;1119905;1119905;1119905;1122138;1122138;1122138;1122138;1122467;1122467;1122467;1122467;1122657;1122657;1122657;1122657;1122893;1122893;1122893;1122893;1123533;1123533;1123533;1123533;1123941;1123941;1123941;1123941;1127603;1127603;1127603;1127603;1127659;1127660;1127709;1132089;1132089;1147308;1147308;1147308;1147308;1147308;1149368;1149368;1149368;1149368;1149368;1154183;1154183;1154183;1154183;1154183;1155085;1168693;1173723;1174171;1174171	1108703;1108703;1108703;1108703;1108968;1108968;1108968;1108968;1109597;1109210;1109210;1109210;1109422;1109422;1109422;1109776;1109597;1109597;1109597;1109776;1109776;1109776;1109776;1110887;1110887;1110887;1110887;1110887;1111061;1111092;1111092;1111092;1111092;1111677;1111613;1111613;1111613;1112066;1112066;1112066;1112300;1112300;1112300;1112536;1112536;1112536;1112948;1112948;1112948;1113703;1113703;1113703;1114421;1114421;1114421;1116102;1116102;1116102;1116102;1116925;1116925;1116925;1116925;1117498;1117498;1117468;1117498;1117498;1119163;1119163;1119163;1119163;1119163;1119620;1119620;1119620;1119620;1119620;1120117;1120022;1120022;1120022;1120022;1122281;1122281;1122281;1122281;1122557;1122557;1122557;1122557;1122790;1122790;1122790;1122790;1123044;1123044;1123044;1123044;1123638;1123638;1123638;1123638;1124021;1124021;1124021;1124021;1127764;1127764;1127764;1127764;1127764;1127764;1127764;1132220;1132220;1147419;1147419;1147419;1147419;1147419;1149441;1149441;1149441;1149441;1149441;1154401;1154401;1154401;1154401;1154401;1155135;1168942;1173773;1174255;1174282	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6476	814
ENSG00000118046.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1189406;1205740;1206815;1206823;1206868;1207090;1216267;1218416;1218416;1218416;1218416;1218416;1219323;1219323;1219323;1219323;1219323;1220012;1220372;1220372;1220372;1220372;1220372;1220580;1220580;1220580;1220580;1221212;1221212;1221212;1221212;1221212;1221212;1221948;1221948;1221948;1221948;1222984;1222984;1222984;1222984;1223147;1223637;1226453;1226453;1226458;1227592;1227592;1227592	1189658;1207202;1207202;1207202;1207202;1207202;1216397;1218499;1218499;1218499;1218499;1218499;1219412;1219412;1219412;1219412;1219385;1220716;1220716;1220504;1220504;1220504;1220504;1220616;1220716;1220716;1220716;1221339;1221340;1221339;1222005;1221339;1221339;1222005;1222008;1222005;1222005;1223171;1223171;1223172;1223171;1223171;1226662;1228011;1226662;1226662;1228093;1227856;1228428	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8504	1113
ENSG00000267736.1	chr19	1203208	1203820	+	613	0
ENSG00000099625.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1228286;1229178;1229947;1229947;1231100;1231100;1233425;1233425;1233425;1233425;1234190;1234190;1234190;1234190;1234570;1234570;1234570;1234570;1234573;1235000;1235000;1235000;1235000;1235007;1235500;1235500;1235500;1235500;1235778;1235778;1235778;1235778;1235995;1235995;1235995;1235995;1237755;1237755;1237755;1237755	1231274;1230141;1231274;1230136;1231274;1231274;1233635;1233635;1233635;1233635;1234330;1234289;1234330;1234330;1234741;1234741;1234826;1234741;1234741;1235341;1235144;1235084;1235144;1235144;1235564;1235564;1235564;1235564;1235917;1235917;1235917;1235917;1236120;1236120;1236120;1236120;1237845;1237990;1237990;1238026	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4543	114
ENSG00000267778.1	chr19;chr19;chr19	1238178;1238403;1239363	1238225;1239039;1239521	+;+;+	844	4
