Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0017378543291882288)	(60, 0.005020468062099328)	(65, 0.005792847763960763)	(70, 0.009075461496871861)	(75, 0.016992353440951572)	(80, 0.02548853016142736)	(85, 0.03591565613655674)	(90, 0.05368038927936973)	(95, 0.06796941376380627)	(100, 0.09828531706186762)	(105, 0.12512551170155248)	(110, 0.1662547308256739)	(115, 0.22534177801807367)	(120, 0.29157333745269176)	(125, 0.3585772765891712)	(130, 0.4290569243840272)	(135, 0.46188306171313814)	(140, 0.46246234648953427)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk - polya	(1, 0.0028964238819803815)	(2, 0.010620220900594732)	(3, 0.010620220900594732)	(4, 0.011585695527921526)	(5, 0.01255117015524832)	(6, 0.014482119409901907)	(7, 0.015447594037228701)	(8, 0.019309492546535877)	(9, 0.02510234031049664)	(10, 0.03224685255271491)	(15, 0.05329419942843903)	(20, 0.07356916660230169)	(25, 0.10002317139105583)	(30, 0.12338765737236426)	(35, 0.1425040549934348)	(40, 0.16084807291264386)	(45, 0.18865374217965553)	(50, 0.21008727890631035)	(55, 0.22669344249633117)	(60, 0.23731366339692594)	(65, 0.25604387116706573)	(70, 0.2821116861048892)	(75, 0.3058623619371283)	(80, 0.31532401328493087)	(85, 0.3375299297134471)	(90, 0.35490847300532946)	(95, 0.3715146365953503)	(100, 0.3883138951108365)	(105, 0.4012512551170155)	(110, 0.41689194407970953)	(115, 0.4298293040858886)	(120, 0.44933189155788983)	(125, 0.46535877037151463)	(130, 0.4752066115702479)	(135, 0.49142658530933814)	(140, 0.501081331582606)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-2_S5_L001_R2_001_bbduk - polyg	(1, 0.01255117015524832)	(2, 0.01255117015524832)	(3, 0.01255117015524832)	(4, 0.01255117015524832)	(5, 0.01255117015524832)	(6, 0.01255117015524832)	(7, 0.01255117015524832)	(8, 0.01255117015524832)	(9, 0.01255117015524832)	(10, 0.01255117015524832)	(15, 0.01255117015524832)	(20, 0.013323549857109753)	(25, 0.015447594037228701)	(30, 0.015447594037228701)	(35, 0.015833783888159418)	(40, 0.016413068664555497)	(45, 0.016992353440951576)	(50, 0.019309492546535877)	(55, 0.020854251950258744)	(60, 0.021433536726654823)	(65, 0.02896423881980382)	(70, 0.032246852552714915)	(75, 0.03379161195643778)	(80, 0.03572256121109137)	(85, 0.03861898509307175)	(90, 0.04190159882598285)	(95, 0.042867073453309645)	(100, 0.04595659226075539)	(105, 0.049239205993666484)	(110, 0.05657681316135012)	(115, 0.06565227465822197)	(120, 0.07878272958986637)	(125, 0.08863057078859968)	(130, 0.10485054452768983)	(135, 0.12686336603074072)	(140, 0.14771761798099947)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.002261526718995882)	(60, 0.004899974557824411)	(65, 0.006407659037155)	(70, 0.011684554714812057)	(75, 0.017338371512301762)	(80, 0.02581909670853632)	(85, 0.03957671758242794)	(90, 0.05766893133439499)	(95, 0.07670344788594366)	(100, 0.10572637411305749)	(105, 0.14323002553640585)	(110, 0.18601057263741133)	(115, 0.2440564250916389)	(120, 0.3004061325066197)	(125, 0.3637288806385044)	(130, 0.42460164149147694)	(135, 0.4523053437991765)	(140, 0.4541899493983397)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R1_001_bbduk - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0009423027995816176)	(5, 0.004711513997908087)	(6, 0.006596119597071323)	(7, 0.01130763359497941)	(8, 0.016019147592887497)	(9, 0.02261526718995882)	(10, 0.030530610706444406)	(15, 0.03938825702251161)	(20, 0.04296900766092175)	(25, 0.05371125957615221)	(30, 0.06426505093146631)	(35, 0.07387653948719883)	(40, 0.0810380407640191)	(45, 0.09988409675565146)	(50, 0.12853010186293262)	(55, 0.1709337278441054)	(60, 0.19260669223448262)	(65, 0.19712974567247438)	(70, 0.20447970750921102)	(75, 0.2150334988645251)	(80, 0.2229488423810107)	(85, 0.2485794785296307)	(90, 0.2759062597174976)	(95, 0.2981446057876238)	(100, 0.31849834625858675)	(105, 0.3322559671324784)	(110, 0.34978279920469646)	(115, 0.3699480791157431)	(120, 0.3929402674255345)	(125, 0.4102786389378362)	(130, 0.422340114772481)	(135, 0.4319516033282135)	(140, 0.4400554074046154)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0005653816797489705)	(60, 0.0018846055991632352)	(65, 0.0039576717582427935)	(70, 0.006973040716903971)	(75, 0.013569160313975292)	(80, 0.02148450383046088)	(85, 0.03731519086343206)	(90, 0.054088180695984846)	(95, 0.08556109420201088)	(100, 0.1289070229827653)	(105, 0.16772989832552793)	(110, 0.21597580166410674)	(115, 0.28570620883314646)	(120, 0.3543058526426882)	(125, 0.4370400384459542)	(130, 0.5077127484145756)	(135, 0.5384318196809362)	(140, 0.5399395041602668)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk - polya	(1, 0.0028269083987448526)	(2, 0.007538422396652941)	(3, 0.009423027995816175)	(4, 0.01130763359497941)	(5, 0.012249936394561027)	(6, 0.013192239194142646)	(7, 0.014134541993724263)	(8, 0.01884605599163235)	(9, 0.02355756998954044)	(10, 0.03524212470435249)	(15, 0.06106122141288881)	(20, 0.09762257003665559)	(25, 0.12645703570385308)	(30, 0.1430415649764895)	(35, 0.15642226473054852)	(40, 0.17168757008377072)	(45, 0.19204131055473367)	(50, 0.21352581438519452)	(55, 0.23274879149665956)	(60, 0.24367950397180632)	(65, 0.2578140459655306)	(70, 0.27684856251707923)	(75, 0.29418693402938095)	(80, 0.30945223938260324)	(85, 0.3247175447358254)	(90, 0.3414905345683782)	(95, 0.36354042007858806)	(100, 0.3855903055887979)	(105, 0.4006671503821038)	(110, 0.41536707405557705)	(115, 0.428747773809636)	(120, 0.447405369241352)	(125, 0.4670052674726497)	(130, 0.48057442778662496)	(135, 0.502812773856751)	(140, 0.5135550257719815)
KAPA_mRNA_HyperPrep_-HBR-KAPA-100_ng_total_RNA-3_S6_L001_R2_001_bbduk - polyg	(1, 0.013192239194142646)	(2, 0.013192239194142646)	(3, 0.013192239194142646)	(4, 0.013192239194142646)	(5, 0.013192239194142646)	(6, 0.013192239194142646)	(7, 0.013192239194142646)	(8, 0.013192239194142646)	(9, 0.013192239194142646)	(10, 0.013192239194142646)	(15, 0.013192239194142646)	(20, 0.013192239194142646)	(25, 0.013192239194142646)	(30, 0.013192239194142646)	(35, 0.01338069975405897)	(40, 0.015076844793305882)	(45, 0.015076844793305882)	(50, 0.016396068712720143)	(55, 0.017338371512301762)	(60, 0.019411437671381322)	(65, 0.02261526718995882)	(70, 0.024876793908954704)	(75, 0.027703702307699557)	(80, 0.0312844529461097)	(85, 0.03524212470435249)	(90, 0.03731519086343205)	(95, 0.04202670486134014)	(100, 0.04617283717949926)	(105, 0.05239203565673793)	(110, 0.05503048349556646)	(115, 0.0650188931711316)	(120, 0.07990727740452117)	(125, 0.09837641227632088)	(130, 0.11835323162745118)	(135, 0.1498261451334772)	(140, 0.17055680672427279)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.00025538544047603846)	(60, 0.0012769272023801922)	(65, 0.0031923180059504805)	(70, 0.0053630942499968085)	(75, 0.009321568577375403)	(80, 0.01608928274999042)	(85, 0.024517002285699693)	(90, 0.03600934710712143)	(95, 0.04367091032140258)	(100, 0.06027096395234508)	(105, 0.08223411183328438)	(110, 0.10598495779755594)	(115, 0.14020660682134511)	(120, 0.1765990320891806)	(125, 0.21886532248796495)	(130, 0.27581627571412154)	(135, 0.29560864735101455)	(140, 0.2968855745533947)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk - polya	(1, 0.0006384636011900961)	(2, 0.008938490416661346)	(3, 0.015961590029752403)	(4, 0.019153908035702886)	(5, 0.033200107261885)	(6, 0.03830781607140577)	(7, 0.04596937928568692)	(8, 0.055546333303538364)	(9, 0.0651232873213898)	(10, 0.09372645665470611)	(15, 0.11658345357731155)	(20, 0.13573736161301445)	(25, 0.17493902672608636)	(30, 0.21452376999987233)	(35, 0.2694316397022206)	(40, 0.2876916986962573)	(45, 0.31514563354743147)	(50, 0.3395349431128931)	(55, 0.3681381124462095)	(60, 0.3833335461545337)	(65, 0.39597512545809765)	(70, 0.4067013139580912)	(75, 0.4268767637556983)	(80, 0.4526706932437782)	(85, 0.47795385185090594)	(90, 0.4953200618032766)	(95, 0.5169001315235018)	(100, 0.538224815803251)	(105, 0.5645295161722831)	(110, 0.5997727069579764)	(115, 0.6227573966008197)	(120, 0.6385912939103342)	(125, 0.6581282801067512)	(130, 0.6752391046186456)	(135, 0.6934991636126824)	(140, 0.7023099613091057)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0012769272023801922)	(4, 0.0019153908035702885)	(5, 0.0019153908035702885)	(6, 0.0019153908035702885)	(7, 0.003830781607140577)	(8, 0.003830781607140577)	(9, 0.004469245208330673)	(10, 0.007661563214281153)	(15, 0.01149234482142173)	(20, 0.013918506505944095)	(25, 0.015706204589276365)	(30, 0.019792371636892982)	(35, 0.022218533321415344)	(40, 0.02834778389284027)	(45, 0.030518560136886596)	(50, 0.03154010189879075)	(55, 0.03243395094045688)	(60, 0.03434934174402718)	(65, 0.03805243063092973)	(70, 0.04341552488092654)	(75, 0.04788477008925721)	(80, 0.05133247353568373)	(85, 0.05401402066068213)	(90, 0.05924942219044092)	(95, 0.06103712027377319)	(100, 0.06525098004162784)	(105, 0.07176330877376681)	(110, 0.08095718463090418)	(115, 0.0890018260058994)	(120, 0.0969187746606566)	(125, 0.10726188499993614)	(130, 0.11760499533921571)	(135, 0.12398963135111667)	(140, 0.12769272023801922)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00025538544047603846)	(55, 0.0006384636011900961)	(60, 0.0008938490416661347)	(65, 0.002681547124998404)	(70, 0.005873865130948884)	(75, 0.012003115702373808)	(80, 0.01698313179165656)	(85, 0.026177007648793944)	(90, 0.04098936319640417)	(95, 0.06793252716662623)	(100, 0.10406956699398566)	(105, 0.13726967425587067)	(110, 0.17889750105346497)	(115, 0.239040772285572)	(120, 0.30659022129148417)	(125, 0.3866535568807222)	(130, 0.4548414694878245)	(135, 0.4921277437973261)	(140, 0.4935323637199443)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk - polya	(1, 0.0)	(2, 0.003192318005950481)	(3, 0.00830002681547125)	(4, 0.013407735624992019)	(5, 0.015961590029752403)	(6, 0.017876980833322693)	(7, 0.019792371636892982)	(8, 0.023623153244033558)	(9, 0.03000778925593452)	(10, 0.04545860840473485)	(15, 0.06588944364281793)	(20, 0.0869587424820911)	(25, 0.10304802523208152)	(30, 0.11952038614278601)	(35, 0.14161122674396334)	(40, 0.16714977079156718)	(45, 0.18847445507131638)	(50, 0.20928836847011353)	(55, 0.22997458914867264)	(60, 0.24133924124985634)	(65, 0.2599823784046072)	(70, 0.2874363132557813)	(75, 0.30569637224981805)	(80, 0.33251184349980206)	(85, 0.35051651705336284)	(90, 0.3703088886902558)	(95, 0.4029982250711887)	(100, 0.4262383001545082)	(105, 0.44002911394021427)	(110, 0.4521599223628261)	(115, 0.47501691928543155)	(120, 0.4934046709997063)	(125, 0.5071954847854124)	(130, 0.5204755276901665)	(135, 0.5419279046901537)	(140, 0.5529094786306232)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-2_S7_L001_R2_001_bbduk - polyg	(1, 0.010853881220231634)	(2, 0.012130808422611827)	(3, 0.012130808422611827)	(4, 0.012130808422611827)	(5, 0.012130808422611827)	(6, 0.012769272023801924)	(7, 0.012769272023801924)	(8, 0.012769272023801924)	(9, 0.012769272023801924)	(10, 0.013280042904754)	(15, 0.013535428345230038)	(20, 0.014046199226182115)	(25, 0.014301584666658155)	(30, 0.01468466282737221)	(35, 0.015450819148800327)	(40, 0.018643137154750807)	(45, 0.020813913398797134)	(50, 0.022218533321415344)	(55, 0.022984689642843458)	(60, 0.02490008044641375)	(65, 0.028347783892840272)	(70, 0.03498780534521727)	(75, 0.03958474327378596)	(80, 0.0425216758392604)	(85, 0.04379860304164059)	(90, 0.04558630112497287)	(95, 0.04839554097020929)	(100, 0.05439709882139619)	(105, 0.058738651309488854)	(110, 0.06346328195829556)	(115, 0.06806021988686425)	(120, 0.07802025206542976)	(125, 0.08849105512494733)	(130, 0.1048357233154138)	(135, 0.12564963671421092)	(140, 0.14046199226182116)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0003763572382905854)	(65, 0.0012545241276352849)	(70, 0.0035126675573787973)	(75, 0.00815440682962935)	(80, 0.015054289531623416)	(85, 0.02207962464638101)	(90, 0.036632104526950315)	(95, 0.058962633998858385)	(100, 0.0876912365217064)	(105, 0.11767436317218971)	(110, 0.15982637386073528)	(115, 0.20586740934495024)	(120, 0.2596864944205039)	(125, 0.32090727184910584)	(130, 0.3806226203245454)	(135, 0.4096021276729204)	(140, 0.41273843799200866)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk - polya	(1, 0.003136310319088212)	(2, 0.010036193021082279)	(3, 0.01317250334017049)	(4, 0.017563337786893986)	(5, 0.023208696361252768)	(6, 0.027599530807976263)	(7, 0.040144772084329115)	(8, 0.048926440977776105)	(9, 0.06272620638176424)	(10, 0.09383840474711931)	(15, 0.1208106734912779)	(20, 0.1494138236013624)	(25, 0.18403868952409627)	(30, 0.22305438989355367)	(35, 0.27386261706278264)	(40, 0.2969458610112719)	(45, 0.3344561324275669)	(50, 0.36243202047383377)	(55, 0.3927915043626077)	(60, 0.4128638904047722)	(65, 0.43055268060442975)	(70, 0.43945980191064027)	(75, 0.4570231396975342)	(80, 0.48738262358630813)	(85, 0.510842224773088)	(90, 0.5266492287812925)	(95, 0.541703518312916)	(100, 0.5563814506062488)	(105, 0.5847336958908063)	(110, 0.6187312997497225)	(115, 0.6355419230600352)	(120, 0.6547361422128551)	(125, 0.6766903144464725)	(130, 0.7020317018247054)	(135, 0.7273730892029381)	(140, 0.7439328076877239)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R1_001_bbduk - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0012545241276352849)	(8, 0.0018817861914529272)	(9, 0.0025090482552705697)	(10, 0.0038890247956693824)	(15, 0.007025335114757595)	(20, 0.012545241276352847)	(25, 0.013799765403988131)	(30, 0.01568155159544106)	(35, 0.017939695025184572)	(40, 0.02534138737823275)	(45, 0.027599530807976263)	(50, 0.029104959761138603)	(55, 0.030861293539828007)	(60, 0.033370341795098575)	(65, 0.04202655827578204)	(70, 0.046668297548032596)	(75, 0.052062751296864315)	(80, 0.054446347139371354)	(85, 0.057206300220168996)	(90, 0.06021715812649366)	(95, 0.0656116118753254)	(100, 0.07778049591338765)	(105, 0.09070209442803108)	(110, 0.09684926265344398)	(115, 0.10437640741925569)	(120, 0.11127629012124976)	(125, 0.11704710110837206)	(130, 0.12658148447840026)	(135, 0.13260320029104958)	(140, 0.13737039197606368)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0012545241276352849)	(60, 0.003136310319088212)	(65, 0.004265382033959968)	(70, 0.007527144765811708)	(75, 0.011541621974244621)	(80, 0.019445123978346912)	(85, 0.02885405493561155)	(90, 0.04277927275236322)	(95, 0.059464443649912505)	(100, 0.0960965481768628)	(105, 0.12909053273367083)	(110, 0.1653462800223305)	(115, 0.21050914861720077)	(120, 0.27888071357332384)	(125, 0.3650665211418679)	(130, 0.43193265714482865)	(135, 0.4607867120804401)	(140, 0.4629194030974201)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk - polya	(1, 0.0012545241276352849)	(2, 0.0025090482552705697)	(3, 0.007527144765811709)	(4, 0.011290717148717563)	(5, 0.011290717148717563)	(6, 0.011917979212535205)	(7, 0.012545241276352847)	(8, 0.01317250334017049)	(9, 0.01568155159544106)	(10, 0.027348625982449203)	(15, 0.04579013065868789)	(20, 0.07439328076877239)	(25, 0.10889269427874271)	(30, 0.13172503340170488)	(35, 0.1494138236013624)	(40, 0.17563337786893984)	(45, 0.19620757356215854)	(50, 0.2167817692553772)	(55, 0.23685415529754178)	(60, 0.2517829924164016)	(65, 0.275368046015945)	(70, 0.29907855202825184)	(75, 0.32115817667463287)	(80, 0.33985058617639863)	(85, 0.3604247818696173)	(90, 0.3797444534352007)	(95, 0.4042076739240888)	(100, 0.43055268060442975)	(105, 0.4521304955997566)	(110, 0.47508828713548235)	(115, 0.49779517384568095)	(120, 0.5146057971559939)	(125, 0.531290968053543)	(130, 0.5420798755512066)	(135, 0.5644104050231146)	(140, 0.5783356228398663)
KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_R2_001_bbduk - polyg	(1, 0.008781668893446993)	(2, 0.008781668893446993)	(3, 0.009408930957264635)	(4, 0.009408930957264635)	(5, 0.010036193021082279)	(6, 0.010036193021082279)	(7, 0.010036193021082279)	(8, 0.010036193021082279)	(9, 0.010036193021082279)	(10, 0.010036193021082279)	(15, 0.010036193021082279)	(20, 0.010036193021082279)	(25, 0.010036193021082279)	(30, 0.010036193021082279)	(35, 0.010538002672136393)	(40, 0.012545241276352847)	(45, 0.014176122642278716)	(50, 0.015932456420968116)	(55, 0.016810623310312817)	(60, 0.017814242612421042)	(65, 0.021577814995326898)	(70, 0.024212315663360996)	(75, 0.02734862598244921)	(80, 0.028352245284557438)	(85, 0.03136310319088212)	(90, 0.03475031833549739)	(95, 0.03688300935247737)	(100, 0.042779272752363214)	(105, 0.04804827408843141)	(110, 0.05557541885424311)	(115, 0.06410618292216305)	(120, 0.07765504350062413)	(125, 0.09434021439817342)	(130, 0.10914359910426978)	(135, 0.13147412857617785)	(140, 0.14740658499714596)
